Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Crowd Control,Crowd Control Counter,Buffs,Debuffs
Rowan,Lightbearer,Support,Support,A,B,B,A,moving,ally-healer; energy-provider,,fast,,,,yes,Single target,,,,,Area — low,,,,ATK — Self — high; Haste — Self — low; Energy — Area — high; Max HP — Self — average,Energy — Single target — low
Saida,Hypogean,Rogue,Specialist,S+,A,A,S,high movement,ally-shielder; cheat-death; high-initial-energy,,fast,yes,,,,"All units, Area, Single target",,,,,Self — average,Multiple targets — high,Displace — Single target — low; Bind — Single target — low; Bind — All units — low; Interrupt — Single target — low,Unaffected — Self — On skill,Damage taken — Self — low,Damage dealt — Single target — low; Energy — Single target — high
Salazer,Graveborn,Rogue,Damage dealer,C,C,C,C,moving,execute; interrupt,fast,fast,,,,,,"Arc, Single target",,,,Self — average,,Bind — Single target — high,,Damage taken — Self — low; Lifedrain — Self — high,
Satrana,Mauler,Mage,Specialist,A,C,C,A,moving,dot-specialist; heal-inhibitor; hp-scaling; invincibility; life-drain,,fast,,,,,"Area, Single target",,,,Single target,,,Charm — Single target — average,,Damage taken — Self — low; Damage taken — Single target — low; Magic damage — Single target — average; Invincible — Self — high; Lifedrain — Self — high,Vitality — Multiple targets — low
Scarlita,Celestial,Warrior,Specialist,A,C,C,B,moving,ally-shielder; aoe-damage; execute; hp-scaling; non-ult-utility,fast,fast,,,,,,"All units, Arc, Area",,,,,Single target — low,Stun — Arc — average; Stun — Area — average; Knock down — Arc — low; Knock up — Area — low; Knock back — All units — low,Unaffected — Self — Conditional,Energy — Self — average; Execution — Self — low; Invincible — Self — high,
Seth,Mauler,Rogue,Damage dealer,C,C,C,C,high movement,assassin; life-drain,,fast,,,,,,Single target,,Single target — high,,Self — low,,Bind — Single target — low,,Haste — Self — low; Crit — Self — average; DEF — Self — average; Energy — Self — average; Invincible — Self — high; Lifedrain — Self — low,Phys DEF — Single target — low
Shadewing,Graveborn,Rogue,Specialist,A+,A,B,A,moving,dot-specialist; enemy-debuffer,fast,fast,yes,,,,Single target,,,Single target — low,,,,,,Energy — Self — average; Invincible — Self — high; Lifedrain — Self — average,Magic DEF — Single target — low; Phys DEF — Single target — low
Shakir,Mauler,Rogue,Specialist,A,B,B,A,moving,heal-inhibitor; life-drain; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,,Knock up — Single target — low,Unaffected — Self — Form,Haste — Area — average; Damage taken — Area — low; Damage taken — Self — low; Lifedrain — Self — average,Vitality — Single target — low
Shemira,Graveborn,Mage,Damage dealer,A+,A,A,A,mostly stationary,high-damage-ult; hp-scaling,,fast,,,,,"Area, Single target",,,,"Area, Single target — low",,,,,,Max HP — Single target — low
Silven,Lightbearer,Marksman,Damage dealer,S,S,A+,A+,stationary,high-initial-energy; hp-scaling; mark-target; non-ult-utility,fast,fast,,,,,Single target,,,,Single target,,,Knock down — Single target — average,,ATK SPD — Self — low; DEF Penetration — Self — low; Energy — Self — high; Ranged DEF — Self — low,
Silvina,Graveborn,Rogue,Damage dealer,C,C,C,B,moving,assassin; battle-start-burst; heal-inhibitor; interrupt; mark-target,fast,fast,,,,,,Single target,,,,,,Stun — Single target — high; Frighten — Area — average,,,Energy — Single target — high; Vitality — Single target — low
Sinbad,Lightbearer,Rogue,Specialist,B,B,C,C,high movement,assassin; enemy-debuffer; heal-inhibitor; mark-target,,fast,,,,,,Single target,,,,,,,Unaffected — Self — Conditional,,ATK — Single target — low; Damage taken — Single target — low; Energy — Single target — low; Magic DEF — Multiple targets — average; Phys DEF — Multiple targets — low; Vitality — Multiple targets — low; ATK SPD — Single target — low
Smokey & Meerky,Mauler,Support,Support,A,C,S,C,stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,yes,yes,,yes,,,,,,Area — high,,Stun — Area — low,,ATK — Area — average; ATK — Self — low; Haste — Area — average; Energy — Self — low; Energy — Area — low,
Solise,Wilder,Support,Support,S,S,S,S,stationary,ally-healer; ally-shielder; aoe-healing,,fast,,yes,,,All units,,,,,All units — high,,,Unaffected — Self — On skill,ATK — Single target — low; DEF — Single target — low,
Sonja,Lightbearer,Warrior,Support,B,A,B,B,high movement,ally-buffer; aoe-damage; temporary-stat-buffer,fast,fast,,,,,,"Area, Single target",,,,,,Stun — Single target — low,,ATK — Multiple targets — average; Haste — Self — low — conditional (frequent); Damage taken — Self — average,
Soren,Mauler,Rogue,Specialist,C,C,C,B,moving,counterattack; self-repositioner,,fast,,,,,,"Area, Multiple targets",,,,,Single target — low,Stun — Multiple targets — average; Knock back — Area — low; Knock back — Single target — low,,Haste — Self — high; Damage taken — Self — low; Energy — Self — average,
Sylphira,Celestial,Rogue,Damage dealer,A,A+,?,S+,moving,high-initial-energy; interrupt; life-drain; mass-cc,,fast,,,,,"Area, Single target",,Area — average,,Single target — average,,,Knock down — Area — average; Silence — Single target — low; Interrupt — Single target — low,Unaffected — Self — On skill; Immune — Self — On skill; Cleanse — Self — On skill,ATK — Self — high; Haste — Self — average; Lifedrain — Self — high,Energy — Single target — average; Max HP — Single target — low
Talene,Celestial,Mage,Specialist,A,C,A,B,moving,ally-healer; aoe-damage; cheat-death,,fast,,yes,,,Area,,,,,,,Knock back — Area — low,,ATK — Self — low; Lifedrain — Self — average,
Tasi,Wilder,Mage,Specialist,B,C,C,A,stationary,aoe-damage; cheat-death; mass-cc; self-repositioner,,fast,yes,yes,,,Area,,,,,,,Stun — Area — low; Sleep — All units — average,,ATK — Self — low; Haste — Self — high; Damage taken — Self — low,
Temesia,Lightbearer,Tank,Specialist,C,B,C,C,high movement,aoe-damage; backline-inhibit; enemy-debuffer; interrupt; mass-cc; self-repositioner,,fast,,yes,,,,"Area, Single target",Area — low,,Single target — high,,,Knock down — Area — low; Interrupt — Single target — low,Unaffected — Self — Permanent,ATK — Self — average; Damage dealt — Self — low; Energy — Self — average,Damage dealt — Single target — low; Phys DEF — Area — low; Phys DEF — Single target — low
Thador,Wilder,Tank,Tank,S,A+,C,A+,moving,ally-shielder; enemy-debuffer; energy-provider; temporary-stat-buffer,average,fast,yes,yes,,yes,,"Area, Single target",,,,,Multiple targets — average,Knock down — Single target — low,,Crit — Single target — low; Damage taken — Self — low; Energy — Single target — high,Magic DEF — Single target — high; Phys DEF — Single target — low
Thoran,Graveborn,Tank,Tank,B,A+,A,B,moving,cheat-death; counterattack; life-drain,fast,fast,,,,,,Area,,"Multiple targets, Single target",,Self — low,,,Unaffected — Self — On skill,Energy — Self — low; Lifedrain — Self — low,Damage taken — Single target — low
Tilaya,Wilder,Warrior,Tank,A,C,C,A,high movement,aoe-damage; temporary-stat-buffer,,fast,,yes,,,,"Arc, Single target",,,,Self — average,Self — low,,Unaffected — Self — Conditional,DEF — Area — high; Damage taken — Self — high; Damage dealt — Self — low; Max HP — Area — high; Vitality — Self — low,
Twins,Celestial,Support,Support,S,S+,S+,A+,moving / stationary,ally-buffer; ally-healer; ally-shielder; energy-provider; temporary-stat-buffer,,fast,,,,yes,Area,,,,,Multiple targets — average,,Knock back — Area — low; Blind — Area — average,Unaffected — Multiple targets — On skill; Unaffected — Self — On skill,ATK — Multiple targets — high; Haste — All units — high; Haste — Self — low; Energy — Multiple targets — low; Max HP — Multiple targets — average; Vitality — Multiple targets — low,
Ulmus,Wilder,Tank,Specialist,B,C,C,A,moving,ally-shielder; aoe-damage; cheat-death,fast,fast,,yes,,,,"Area, Single target",,,,Self — low — conditional (frequent),,Knock up — Area — low; Knock back — Area — low; Bind — Single target — low,Unaffected — Self — Conditional,Energy — Self — low; Lifedrain — Self — high,
Vala,Lightbearer,Rogue,Damage dealer,B,C,C,B,high movement,assassin; hp-scaling; mark-target; self-repositioner; stealth; untargetable,,fast,,,,,,Single target,Single target — average,,,,,Stun — Single target — average,Untargetable — Self — Conditional,ATK — Self — low; Haste — Self — high,Damage dealt — Single target — average; Energy — Single target — average; Haste — Single target — high
Valen,Lightbearer,Warrior,Damage dealer,C,C,C,C,moving,aoe-damage; mass-cc,,fast,,,,,,"Area, Single target",,,,,,Stun — Area — average,,ATK — Self — average; Energy — Self — high,
Valka,Graveborn,Warrior,Specialist,C,A,B,B,moving,ally-buffer; ally-shielder; counterattack; high-initial-energy,,fast,,,,,,Area,,,Single target,,Self — average,Stun — Single target — low; Knock down — Single target — low; Knock down — Area — low,Unaffected — Self — On skill,ATK SPD — Multiple targets — low; Haste — Self — low; Energy — Self — high; Lifedrain — Self — low,Haste — Single target — low
Velara,Wilder,Support,Support,S+,S,S,B,stationary,ally-healer; ally-shielder; aoe-healing; backline-inhibit; temporary-stat-buffer,,fast,,,,,Single target,,,,,Multiple targets — average,,Bind — Single target — high,Unaffected — Multiple targets — On skill,Basic stats — All units — average; Haste — Self — low,Basic stats — All units — average; Haste — Area — low; Haste — Multiple targets — average; Haste — Single target — average; Magic DEF — Single target — high; Phys DEF — Single target — low
Viperian,Graveborn,Mage,Damage dealer,B,C,C,C,mostly stationary,aoe-damage; dot-specialist,slow,average,yes,,,,"All units, Single target",,,,,Self — low,,,Unaffected — Self — On skill,Haste — Self — average,Energy — Single target — average
Walker,Lightbearer,Rogue,Specialist,C,C,C,C,moving,aoe-damage; battle-start-burst; mark-target; mass-cc; non-ult-utility,,fast,,,,,,"Arc, Single target",,,Single target,,,Stun — Single target — average; Stun — Arc — average,,Crit — Self — average; Damage taken — Self — low; Lifedrain — Self — high,Crit Resist — Single target — low
Zandrok,Mauler,Warrior,Specialist,A+,C,C,A+,moving,aoe-damage; battlefield-modification; hp-scaling; temporary-stat-buffer,fast,fast,,,,,,Area,,,Area,,,Stun — Area — low; Knock up — Area — low,,Haste — Area — average — conditional (frequent); Lifedrain — Area — high — conditional (frequent); Max HP — Multiple targets — low; Max HP — Self — low,
Zanie,Lightbearer,Marksman,Specialist,A+,A+,A+,B,moving,summoner,,fast,yes,,yes,,,Single target,,,,,,Stun — Single target — low; Knock back — Single target — low,,ATK — Self — average; ATK SPD — Self — average; DEF Penetration — Self — low,ATK — Single target — average; Phys DEF — Single target — average
Zorya,Graveborn,Warrior,Specialist,C,C,C,A+,moving,hp-scaling; life-drain,,fast,,yes,,,"Arc, Area, Single target",,,Single target — high,,,,Stun — Area — average; Knock down — Arc — average,Unaffected — Self — Conditional; Steadfast — Self — Form,Haste — Self — high; Damage taken — Self — high; Damage dealt — Self — average; Energy — Self — average; Lifedrain — Self — low,Haste — Area — high; Movement speed — Area — average
