Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Crowd Control,Crowd Control Counter,atk_buff,basic_stats_buff,atk_spd_buff,haste_buff,crit_buff,def_penetration_buff,def_buff,damage_taken_buff,damage_dealt_buff,ranged_damage_buff,magic_damage_buff,energy_buff,execution_buff,fatal_blow_immunity_buff,invincible_buff,lifedrain_buff,max_hp_buff,attack_range_buff,ranged_def_buff,crit_dmg_boost_buff,vitality_buff,dodge_chance_buff,movement_speed_buff,atk_debuff,basic_stats_debuff,dot_debuff,damage_taken_debuff,damage_dealt_debuff,debuff_duration_debuff,magic_damage_debuff,energy_debuff,execution_debuff,haste_debuff,magic_def_debuff,max_hp_debuff,movement_speed_debuff,phys_def_debuff,vitality_debuff,healing_debuff,crit_resist_debuff,vulnerable_debuff,atk_spd_debuff
Niru,Graveborn,Support,Support,A+,C,C,A,stationary,ally-healer; battle-start-ult; heal-inhibitor; hp-scaling; temporary-stat-buffer,,fast,,,,,"All units, Single target",,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,
Odie,Mauler,Marksman,Damage dealer,A,B,C,B,mostly stationary,dot-specialist; execute,fast,fast,yes,,,,Single target,,,,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,,,,Single target — low,,,,,,,,,,
Orion,Lightbearer,Warrior,Damage dealer,,,,,moving,aoe-damage; cc-immunity; dot-specialist; enemy-debuffer; heal-inhibitor; high-damage-ult,fast,fast,yes,,,,"Arc, Area, Single target",,Single target — low,,,,Self — low; Multiple targets — low,Stun — Area — average; Silence — Single target — average,Unaffected — Self — Conditional,Self — low,,,,,,,Self — low,Self — average,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,,
Pandora,Dimensional,Support,Support,B,C,A,A+,stationary,enemy-debuffer; energy-provider; heal-inhibitor; mass-cc,fast,fast,yes,,,yes,,,,,,Single target — high,,Frighten — All units — low,,,,,,,,,,,,,Single target — low; Self — low,,,Single target — high,,Single target — low,,,,,,,Single target — low,,,Single target — low,,,,Single target — low,,Single target — average,,,,,Single target — average,,,,
Pang,Wilder,Warrior,Damage dealer,C,C,C,A,moving,ally-shielder; high-initial-energy; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,Self — high,Stun — Single target — low,Unaffected — Self — On skill,Self — high; Multiple targets — average,,,Self — high,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,
Parisa,Wilder,Mage,Specialist,B,C,C,B,mostly stationary,ally-buffer; aoe-damage; mark-target; temporary-stat-buffer,,fast,,,,,Area,,,,,,,,,Multiple targets — high; Self — average,,Multiple targets — low,,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy,Lightbearer,Support,Specialist,A+,A+,A+,B,stationary,ally-buffer; ally-healer; ally-shielder; high-initial-energy; summoner,,fast,,yes,yes,,,"Area, Multiple targets",,,,,,,,All summons — high,,,Self — low,,,All summons — average,,Multiple targets — low,All summons — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perseus,Lightbearer,Warrior,Damage dealer,C,C,C,A+,moving,ally-buffer; aoe-damage; temporary-stat-buffer,,fast,,,,,,Area,,,,,,Stun — Area — average; Knock back — Area — low,Unaffected — Self — On skill,Multiple targets — low; Self — low,,,,,,,Self — low,,,,,,,,,Self — average — conditional (frequent),,,,,,,,,,,,,,,,,,,,,,,,,
Phraesto,Hypogean,Tank,Tank,A+,A,B,A,moving,ally-buffer; ally-shielder; aoe-damage; energy-provider; heal-inhibitor; summoner,slow,fast,yes,,yes,yes,"Area, Single target",,,,,,,Stun — Single target — average; Taunt — Single target — average,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Pippa,Wilder,Mage,Damage dealer,B,C,C,C,high movement,backline-assassin; backline-inhibit; enemy-grouping; hp-scaling,,fast,yes,,,,"Area, Single target",,Area — average,,Multiple targets — average,,,Knock down — Single target — low; Displace — Multiple targets — low; Bind — Multiple targets — low; Bind — Area — average; Bind — Single target — low,Unaffected — Self — On skill,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — average,,,,,,,,,,,
Ravion,Wilder,Rogue,Specialist,A+,A+,A,A+,high movement,ally-shielder; backline-assassin; energy-provider; self-repositioner; temporary-stat-buffer,,fast,,,,yes,,"Area, Single target",,Single target — average,,,,Knock down — Single target — low; Displace — Single target — low; Displace — Area — low,Unaffected — Self — On skill; Unaffected — Single target — Conditional,Multiple targets — high; Self — low,,,Multiple targets — average,,,,,,,,Multiple targets — average,,,,Single target — low — conditional (rare),,,,,,,,Single target — low,,,,,,,,,,,,,Single target — average,,,,,
Reinier,Hypogean,Support,Support,B,S,A,B,high movement,backline-assassin; enemy-grouping; interrupt,fast,fast,,,,,"Multiple targets, Single target",,,,,Single target — low,,Knock down — Single target — low; Knock up — Single target — low; Displace — Multiple targets — low; Interrupt — Single target — low,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,Single target — average,,,Single target — average,,,,,,,,,,,,,,,
Rhys,Mauler,Marksman,Damage dealer,B,C,C,C,high movement,aoe-damage; self-repositioner,,fast,,,,,,"All units, Single target",,,,,,Knock back — Single target — low,Immune — Self — Conditional,,,,,Self — average,,,,,,,,,,,,,,,Self — high,,,Self — low,,,,,,,,,,,,,,,,,,,
Rowan,Lightbearer,Support,Support,A,B,B,A,moving,ally-healer; energy-provider,,fast,,,,yes,Single target,,,,,Area — low,,,,Self — high,,,Self — low,,,,,,,,Area — high,,,,,Self — average,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,
Saida,Hypogean,Rogue,Specialist,S+,A,A,S,high movement,ally-shielder; cheat-death; high-initial-energy,,fast,yes,,,,"All units, Area, Single target",,,,,Self — average,Multiple targets — high,Displace — Single target — low; Bind — Single target — low; Bind — All units — low; Interrupt — Single target — low,Unaffected — Self — On skill,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — high,,,,,,,,,,,
Salazer,Graveborn,Rogue,Damage dealer,C,C,C,C,moving,execute; interrupt,fast,fast,,,,,,"Arc, Single target",,,,Self — average,,Bind — Single target — high,,,,,,,,,Self — low,,,,,,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,,,
Satrana,Mauler,Mage,Specialist,A,C,C,A,moving,dot-specialist; heal-inhibitor; hp-scaling; invincibility; life-drain,,fast,,,,,"Area, Single target",,,,Single target,,,Charm — Single target — average,,,,,,,,,Self — low; Single target — low,,,Single target — average,,,,Self — high,Self — high,,,,,,,,,,,,,,,,,,,,,,Multiple targets — low,,,,
Scarlita,Celestial,Warrior,Specialist,A,C,C,B,moving,ally-shielder; aoe-damage; execute; hp-scaling; non-ult-utility,fast,fast,,,,,,"All units, Arc, Area",,,,,Single target — low,Stun — Arc — average; Stun — Area — average; Knock down — Arc — low; Knock up — Area — low; Knock back — All units — low,Unaffected — Self — Conditional,,,,,,,,,,,,Self — average,Self — low,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth,Mauler,Rogue,Damage dealer,C,C,C,C,high movement,assassin; life-drain,,fast,,,,,,Single target,,Single target — high,,Self — low,,Bind — Single target — low,,,,,Self — low,Self — average,,Self — average,,,,,Self — average,,,Self — high,Self — low,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,
Shadewing,Graveborn,Rogue,Specialist,A+,A,B,A,moving,dot-specialist; enemy-debuffer,fast,fast,yes,,,,Single target,,,Single target — low,,,,,,,,,,,,,,,,,Self — average,,,Self — high,Self — average,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — low,,,,,
Shakir,Mauler,Rogue,Specialist,A,B,B,A,moving,heal-inhibitor; life-drain; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,,Knock up — Single target — low,Unaffected — Self — Form,,,,Area — average,,,,Area — low; Self — low,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Shemira,Graveborn,Mage,Damage dealer,A+,A,A,A,mostly stationary,high-damage-ult; hp-scaling,,fast,,,,,"Area, Single target",,,,"Area, Single target — low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,
Silven,Lightbearer,Marksman,Damage dealer,S,S,A+,A+,stationary,high-initial-energy; hp-scaling; mark-target; non-ult-utility,fast,fast,,,,,Single target,,,,Single target,,,Knock down — Single target — average,,,,Self — low,,,Self — low,,,,,,Self — high,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,
Silvina,Graveborn,Rogue,Damage dealer,C,C,C,B,moving,assassin; battle-start-burst; heal-inhibitor; interrupt; mark-target,fast,fast,,,,,,Single target,,,,,,Stun — Single target — high; Frighten — Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,Single target — low,,,,
Sinbad,Lightbearer,Rogue,Specialist,B,B,C,C,high movement,assassin; enemy-debuffer; heal-inhibitor; mark-target,,fast,,,,,,Single target,,,,,,,Unaffected — Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — low,,,,Single target — low,,,Multiple targets — average,,,Multiple targets — low,Multiple targets — low,,,,Single target — low
Smokey & Meerky,Mauler,Support,Support,A,C,S,C,stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,yes,yes,,yes,,,,,,Area — high,,Stun — Area — low,,Area — average; Self — low,,,Area — average,,,,,,,,Self — low; Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solise,Wilder,Support,Support,S,S,S,S,stationary,ally-healer; ally-shielder; aoe-healing,,fast,,yes,,,All units,,,,,All units — high,,,Unaffected — Self — On skill,Single target — low,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonja,Lightbearer,Warrior,Support,B,A,B,B,high movement,ally-buffer; aoe-damage; temporary-stat-buffer,fast,fast,,,,,,"Area, Single target",,,,,,Stun — Single target — low,,Multiple targets — average,,,Self — low — conditional (frequent),,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren,Mauler,Rogue,Specialist,C,C,C,B,moving,counterattack; self-repositioner,,fast,,,,,,"Area, Multiple targets",,,,,Single target — low,Stun — Multiple targets — average; Knock back — Area — low; Knock back — Single target — low,,,,,Self — high,,,,Self — low,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylphira,Celestial,Rogue,Damage dealer,A,A+,?,S+,moving,high-initial-energy; interrupt; life-drain; mass-cc,,fast,,,,,"Area, Single target",,Area — average,,Single target — average,,,Knock down — Area — average; Silence — Single target — low; Interrupt — Single target — low,Unaffected — Self — On skill; Immune — Self — On skill; Cleanse — Self — On skill,Self — high,,,Self — average,,,,,,,,,,,,Self — high,,,,,,,,,,,,,,,Single target — average,,,,Single target — low,,,,,,,
Talene,Celestial,Mage,Specialist,A,C,A,B,moving,ally-healer; aoe-damage; cheat-death,,fast,,yes,,,Area,,,,,,,Knock back — Area — low,,Self — low,,,,,,,,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasi,Wilder,Mage,Specialist,B,C,C,A,stationary,aoe-damage; cheat-death; mass-cc; self-repositioner,,fast,yes,yes,,,Area,,,,,,,Stun — Area — low; Sleep — All units — average,,Self — low,,,Self — high,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temesia,Lightbearer,Tank,Specialist,C,B,C,C,high movement,aoe-damage; backline-inhibit; enemy-debuffer; interrupt; mass-cc; self-repositioner,,fast,,yes,,,,"Area, Single target",Area — low,,Single target — high,,,Knock down — Area — low; Interrupt — Single target — low,Unaffected — Self — Permanent,Self — average,,,,,,,,Self — low,,,Self — average,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,Area — low; Single target — low,,,,,
Thador,Wilder,Tank,Tank,S,A+,C,A+,moving,ally-shielder; enemy-debuffer; energy-provider; temporary-stat-buffer,average,fast,yes,yes,,yes,,"Area, Single target",,,,,Multiple targets — average,Knock down — Single target — low,,,,,,Single target — low,,,Self — low,,,,Single target — high,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,Single target — low,,,,,
Thoran,Graveborn,Tank,Tank,B,A+,A,B,moving,cheat-death; counterattack; life-drain,fast,fast,,,,,,Area,,"Multiple targets, Single target",,Self — low,,,Unaffected — Self — On skill,,,,,,,,,,,,Self — low,,,,Self — low,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Tilaya,Wilder,Warrior,Tank,A,C,C,A,high movement,aoe-damage; temporary-stat-buffer,,fast,,yes,,,,"Arc, Single target",,,,Self — average,Self — low,,Unaffected — Self — Conditional,,,,,,,Area — high,Self — high,Self — low,,,,,,,,Area — high,,,,Self — low,,,,,,,,,,,,,,,,,,,,,
Twins,Celestial,Support,Support,S,S+,S+,A+,moving / stationary,ally-buffer; ally-healer; ally-shielder; energy-provider; temporary-stat-buffer,,fast,,,,yes,Area,,,,,Multiple targets — average,,Knock back — Area — low; Blind — Area — average,Unaffected — Multiple targets — On skill; Unaffected — Self — On skill,Multiple targets — high,,,All units — high; Self — low,,,,,,,,Multiple targets — low,,,,,Multiple targets — average,,,,Multiple targets — low,,,,,,,,,,,,,,,,,,,,,
Ulmus,Wilder,Tank,Specialist,B,C,C,A,moving,ally-shielder; aoe-damage; cheat-death,fast,fast,,yes,,,,"Area, Single target",,,,Self — low — conditional (frequent),,Knock up — Area — low; Knock back — Area — low; Bind — Single target — low,Unaffected — Self — Conditional,,,,,,,,,,,,Self — low,,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,,,
Vala,Lightbearer,Rogue,Damage dealer,B,C,C,B,high movement,assassin; hp-scaling; mark-target; self-repositioner; stealth; untargetable,,fast,,,,,,Single target,Single target — average,,,,,Stun — Single target — average,Untargetable — Self — Conditional,Self — low,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,Single target — average,,Single target — high,,,,,,,,,
Valen,Lightbearer,Warrior,Damage dealer,C,C,C,C,moving,aoe-damage; mass-cc,,fast,,,,,,"Area, Single target",,,,,,Stun — Area — average,,Self — average,,,,,,,,,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valka,Graveborn,Warrior,Specialist,C,A,B,B,moving,ally-buffer; ally-shielder; counterattack; high-initial-energy,,fast,,,,,,Area,,,Single target,,Self — average,Stun — Single target — low; Knock down — Single target — low; Knock down — Area — low,Unaffected — Self — On skill,,,Multiple targets — low,Self — low,,,,,,,,Self — high,,,,Self — low,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,
Velara,Wilder,Support,Support,S+,S,S,B,stationary,ally-healer; ally-shielder; aoe-healing; backline-inhibit; temporary-stat-buffer,,fast,,,,,Single target,,,,,Multiple targets — average,,Bind — Single target — high,Unaffected — Multiple targets — On skill,,All units — average,,Self — low,,,,,,,,,,,,,,,,,,,,,All units — average,,,,,,,,Area — low; Multiple targets — average; Single target — average,Single target — high,,,Single target — low,,,,,
Viperian,Graveborn,Mage,Damage dealer,B,C,C,C,mostly stationary,aoe-damage; dot-specialist,slow,average,yes,,,,"All units, Single target",,,,,Self — low,,,Unaffected — Self — On skill,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,,,,,,,,,
Walker,Lightbearer,Rogue,Specialist,C,C,C,C,moving,aoe-damage; battle-start-burst; mark-target; mass-cc; non-ult-utility,,fast,,,,,,"Arc, Single target",,,Single target,,,Stun — Single target — average; Stun — Arc — average,,,,,,Self — average,,,Self — low,,,,,,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,
Zandrok,Mauler,Warrior,Specialist,A+,C,C,A+,moving,aoe-damage; battlefield-modification; hp-scaling; temporary-stat-buffer,fast,fast,,,,,,Area,,,Area,,,Stun — Area — low; Knock up — Area — low,,,,,Area — average — conditional (frequent),,,,,,,,,,,,Area — high — conditional (frequent),Multiple targets — low; Self — low,,,,,,,,,,,,,,,,,,,,,,,,,
Zanie,Lightbearer,Marksman,Specialist,A+,A+,A+,B,moving,summoner,,fast,yes,,yes,,,Single target,,,,,,Stun — Single target — low; Knock back — Single target — low,,Self — average,,Self — average,,,Self — low,,,,,,,,,,,,,,,,,,Single target — average,,,,,,,,,,,,,Single target — average,,,,,
Zorya,Graveborn,Warrior,Specialist,C,C,C,A+,moving,hp-scaling; life-drain,,fast,,yes,,,"Arc, Area, Single target",,,Single target — high,,,,Stun — Area — average; Knock down — Arc — average,Unaffected — Self — Conditional; Steadfast — Self — Form,,,,Self — high,,,,Self — high,Self — average,,,Self — average,,,,Self — low,,,,,,,,,,,,,,,,,Area — high,,,Area — average,,,,,,
