Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Stun,Knock down,Knock up,Knock back,Frighten,Silence,Charm,Sleep,Displace,Bind,Interrupt,Taunt,Blind,Disarm,Unaffected,Steadfast,Immune,Untargetable,Cleanse,atk_buff,basic_stats_buff,atk_spd_buff,haste_buff,crit_buff,def_penetration_buff,def_buff,damage_taken_buff,damage_dealt_buff,ranged_damage_buff,magic_damage_buff,energy_buff,execution_buff,fatal_blow_immunity_buff,invincible_buff,lifedrain_buff,max_hp_buff,ally_empower_buff,attack_range_buff,healing_buff,ranged_def_buff,crit_dmg_boost_buff,vitality_buff,dodge_chance_buff,movement_speed_buff,exemption_buff,tidal_strength_buff,atk_debuff,basic_stats_debuff,dot_debuff,damage_taken_debuff,damage_dealt_debuff,debuff_duration_debuff,magic_damage_debuff,energy_debuff,execution_debuff,haste_debuff,magic_def_debuff,max_hp_debuff,movement_speed_debuff,phys_def_debuff,vitality_debuff,healing_debuff,crit_resist_debuff,vulnerable_debuff,atk_spd_debuff
Niru,Graveborn,Support,Support,A+,C,C,A,stationary,ally-healer; battle-start-ult; hp-scaling; temporary-stat-buffer,,fast,,,,,"All units, Single target",,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,
Odie,Mauler,Marksman,Damage dealer,A,B,C,B,mostly stationary,dot-specialist; execute,fast,fast,yes,,,,Single target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,,,,Single target — low,,,,,,,,,,
Pandora,Dimensional,Support,Support,B,C,A,A+,stationary,enemy-debuffer; energy-provider; mass-cc,fast,fast,yes,,,yes,,,,,,Single target — high,,,,,,All units — low,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — high,,Single target — low,,,,,,,,,,,Single target — low,,,Single target — low,,,,Single target — low,,Single target — average,,,,,Single target — average,,,,
Pang,Wilder,Warrior,Damage dealer,C,C,C,A,moving,ally-shielder; high-initial-energy; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,,Single target — low,,,,,,,,,,,,,,Self — On skill,,,,,Multiple targets — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,
Parisa,Wilder,Mage,Specialist,B,C,C,B,mostly stationary,ally-buffer; aoe-damage; mark-target; temporary-stat-buffer,,fast,,,,,Area,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple targets — high,,Multiple targets — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy,Lightbearer,Support,Specialist,,,,,stationary,ally-buffer; ally-healer; ally-shielder; high-initial-energy; summoner,,fast,,yes,yes,,,"Area, Multiple targets",,,,,,,,,,,,,,,,,,,,,,,,,All summons — high,,,,,,All summons — average,,Multiple targets — low,All summons — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perseus,Lightbearer,Warrior,Damage dealer,C,C,C,A+,moving,ally-buffer; aoe-damage; temporary-stat-buffer,,fast,,,,,,Area,,,,,,Area — average,,,Area — low,,,,,,,,,,,Self — On skill,,,,,Multiple targets — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phraesto,Hypogean,Tank,Tank,A+,A,B,A,moving,ally-buffer; ally-shielder; aoe-damage; energy-provider; summoner,slow,fast,yes,,yes,yes,"Area, Single target",,,,,,,Single target — average,,,,,,,,,,,Single target — average,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Pippa,Wilder,Mage,Damage dealer,B,C,C,C,high movement,enemy-grouping; hp-scaling,,fast,yes,,,,"Area, Single target",,Area — average,,Multiple targets — average,,,,Single target — low,,,,,,,Multiple targets — low,Multiple targets — low; Area — average; Single target — low,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — average,,,,,,,,,,,
Ravion,Wilder,Rogue,Specialist,A+,A+,A,A+,high movement,ally-shielder; energy-provider; self-repositioner; temporary-stat-buffer,,fast,,,,yes,,"Area, Single target",,Single target — average,,,,,Single target — low,,,,,,,Single target — low; Area — low,,,,,,Self — On skill,,,,,Multiple targets — high,,,Multiple targets — average,,,,,,,,Multiple targets — average,,,,Single target — low — conditional (rare),,,,,,,,,,,,Single target — low,,,,,,,,,,,,,Single target — average,,,,,
Reinier,Hypogean,Support,Support,B,S,A,B,high movement,enemy-grouping; interrupt,fast,fast,,,,,"Multiple targets, Single target",,,,,Single target — low,,,Single target — low,Single target — low,,,,,,Multiple targets — low,,Single target — low,,,,Self — Conditional,Self — Conditional,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,Single target — average,,,Single target — average,,,,,,,,,,,,,,,
Rhys,Mauler,Marksman,Damage dealer,B,C,C,C,high movement,aoe-damage; self-repositioner,,fast,,,,,,"All units, Single target",,,,,,,,,Single target — low,,,,,,,,,,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowan,Lightbearer,Support,Support,A,B,B,A,moving,ally-healer; energy-provider,,fast,,,,yes,Single target,,,,,Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — high,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,
Saida,Hypogean,Rogue,Specialist,S+,A,A,S,high movement,ally-shielder; cheat-death; high-initial-energy,,fast,yes,,,,"All units, Area, Single target",,,,,,Multiple targets — high,,,,,,,,,Single target — low,Single target — low; All units — low,Single target — low,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — high,,,,,,,,,,,
Salazer,Graveborn,Rogue,Damage dealer,C,C,C,C,moving,execute; interrupt,fast,fast,,,,,,"Arc, Single target",,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satrana,Mauler,Mage,Specialist,A,C,C,A,moving,dot-specialist; hp-scaling; invincibility; life-drain,,fast,,,,,"Area, Single target",,,,Single target,,,,,,,,,Single target — average,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple targets — low,,,,
Scarlita,Celestial,Warrior,Specialist,A,C,C,B,moving,ally-shielder; aoe-damage; execute; hp-scaling; non-ult-utility,fast,fast,,,,,,"All units, Arc, Area",,,,,Single target — low,Arc — average; Area — average,Arc — low,Area — low,All units — low,,,,,,,,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth,Mauler,Rogue,Damage dealer,C,C,C,C,high movement,assassin; life-drain,,fast,,,,,,Single target,,Single target — high,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,
Shadewing,Graveborn,Rogue,Specialist,A+,A,B,A,moving,dot-specialist; enemy-debuffer,fast,fast,yes,,,,Single target,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — low,,,,,
Shakir,Mauler,Rogue,Specialist,A,B,B,A,moving,life-drain; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,,,,Single target — low,,,,,,,,,,,,Self — Form,,,,,,,,Area — average,,,,Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Shemira,Graveborn,Mage,Damage dealer,A+,A,A,A,mostly stationary,high-damage-ult; hp-scaling,,fast,,,,,"Area, Single target",,,,"Area, Single target — low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,
Silven,Lightbearer,Marksman,Damage dealer,S,S,A+,A+,stationary,high-initial-energy; hp-scaling; mark-target; non-ult-utility,fast,fast,,,,,Single target,,,,Single target,,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvina,Graveborn,Rogue,Damage dealer,C,C,C,B,moving,assassin; battle-start-burst; interrupt; mark-target,fast,fast,,,,,,Single target,,,,,,Single target — high,,,,Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,Single target — low,,,,
Sinbad,Lightbearer,Rogue,Specialist,B,B,C,C,high movement,assassin; enemy-debuffer; mark-target,,fast,,,,,,Single target,,,,,,,,,,,,,,,,,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — low,,,,Single target — low,,,Multiple targets — average,,,Multiple targets — low,Multiple targets — low,,,,Single target — low
Smokey & Meerky,Mauler,Support,Support,A,C,S,C,stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,yes,yes,,yes,,,,,,Area — high,,Area — low,,,,,,,,,,,,,,,,,,,Area — average,,,Area — average,,,,,,,,Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solise,Wilder,Support,Support,S,S,S,S,stationary,ally-healer; ally-shielder; aoe-healing,,fast,,yes,,,All units,,,,,All units — high,,,,,,,,,,,,,,,,Self — On skill,,,,,Single target — low,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonja,Lightbearer,Warrior,Support,B,A,B,B,high movement,ally-buffer; aoe-damage; temporary-stat-buffer,fast,fast,,,,,,"Area, Single target",,,,,,Single target — low,,,,,,,,,,,,,,,,,,,Multiple targets — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren,Mauler,Rogue,Specialist,C,C,C,B,moving,counterattack; self-repositioner,,fast,,,,,,"Area, Multiple targets",,,,,Single target — low,Multiple targets — average,,,Area — low; Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylphira,Celestial,Rogue,Damage dealer,A,A+,?,S+,moving,high-initial-energy; interrupt; life-drain; mass-cc,,fast,,,,,"Area, Single target",,Area — average,,Single target — average,,,,Area — average,,,,Single target — low,,,,,Single target — low,,,,Self — On skill,,Self — On skill,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,,Single target — low,,,,,,,
Talene,Celestial,Mage,Specialist,A,C,A,B,moving,ally-healer; aoe-damage; cheat-death,,fast,,,,,Area,,,,,,,,,,Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasi,Wilder,Mage,Specialist,B,C,C,A,stationary,aoe-damage; cheat-death; mass-cc; self-repositioner,,fast,yes,,,,Area,,,,,,,Area — low,,,,,,,All units — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temesia,Lightbearer,Tank,Specialist,C,B,C,C,high movement,aoe-damage; enemy-debuffer; interrupt; mass-cc; self-repositioner,,fast,,,,,,"Area, Single target",Area — low,,Single target — high,,,,Area — low,,,,,,,,,Single target — low,,,,Self — Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,Area — low; Single target — low,,,,,
Thador,Wilder,Tank,Tank,S,A+,C,A+,moving,ally-shielder; enemy-debuffer; energy-provider; temporary-stat-buffer,average,fast,yes,,,yes,,"Area, Single target",,,,,Multiple targets — average,,Single target — low,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,Single target — low,,,,,
Thoran,Graveborn,Tank,Tank,B,A+,A,B,moving,cheat-death; counterattack; life-drain,fast,fast,,,,,,Area,,"Multiple targets, Single target",,,,,,,,,,,,,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Tilaya,Wilder,Warrior,Tank,A,C,C,A,high movement,aoe-damage; temporary-stat-buffer,,fast,,,,,,"Arc, Single target",,,,,,,,,,,,,,,,,,,,Self — Conditional,,,,,,,,,,,Area — high,,,,,,,,,,Area — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twins,Celestial,Support,Support,S,S+,S+,A+,moving / stationary,ally-buffer; ally-healer; ally-shielder; energy-provider; temporary-stat-buffer,,fast,,,,yes,Area,,,,,Multiple targets — average,,,,,Area — low,,,,,,,,,Area — average,,Self — On skill,,,,,Multiple targets — high,,,All units — high,,,,,,,,Multiple targets — low,,,,,Multiple targets — average,,,,,,Multiple targets — low,,,,,,,,,,,,,,,,,,,,,,,
Ulmus,Wilder,Tank,Specialist,B,C,C,A,moving,ally-shielder; aoe-damage; cheat-death,fast,fast,,,,,,"Area, Single target",,,,,,,,Area — low,Area — low,,,,,,Single target — low,,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vala,Lightbearer,Rogue,Damage dealer,B,C,C,B,high movement,hp-scaling; mark-target; self-repositioner; stealth; untargetable,,fast,,,,,,Single target,Single target — average,,,,,Single target — average,,,,,,,,,,,,,,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,Single target — average,,Single target — high,,,,,,,,,
Valen,Lightbearer,Warrior,Damage dealer,C,C,C,C,moving,aoe-damage; mass-cc,,fast,,,,,,"Area, Single target",,,,,,Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valka,Graveborn,Warrior,Specialist,C,A,B,B,moving,ally-buffer; ally-shielder; counterattack; high-initial-energy,,fast,,,,,,Area,,,Single target,,,Single target — low,Single target — low; Area — low,,,,,,,,,,,,,Self — On skill,,,,,,,Multiple targets — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,
Velara,Wilder,Support,Support,S+,S,S,B,stationary,ally-healer; ally-shielder; aoe-healing; temporary-stat-buffer,,fast,,,,,Single target,,,,,Multiple targets — average,,,,,,,,,,,Single target — high,,,,,Multiple targets — On skill,,,,,,All units — average,,,,,,,,,,,,,,,,,,,,,,,,,,,All units — average,,,,,,,,Area — low; Multiple targets — average; Single target — average,Single target — high,,,Single target — low,,,,,
Viperian,Graveborn,Mage,Damage dealer,B,C,C,C,mostly stationary,aoe-damage; dot-specialist,slow,average,yes,,,,"All units, Single target",,,,,,,,,,,,,,,,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,,,,,,,,,
Walker,Lightbearer,Rogue,Specialist,C,C,C,C,moving,aoe-damage; battle-start-burst; mark-target; mass-cc; non-ult-utility,,fast,,,,,,"Arc, Single target",,,Single target,,,Single target — average; Arc — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,
Zandrok,Mauler,Warrior,Specialist,A+,C,C,A+,moving,aoe-damage; battlefield-modification; hp-scaling; temporary-stat-buffer,fast,fast,,,,,,Area,,,Area,,,Area — low,,Area — low,,,,,,,,,,,,,,,,,,,,Area — average — conditional (frequent),,,,,,,,,,,,Area — high — conditional (frequent),Multiple targets — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanie,Lightbearer,Marksman,Specialist,A+,A+,A+,B,moving,summoner,,fast,yes,,yes,,,Single target,,,,,,Single target — low,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,,,,,,,,,,,Single target — average,,,,,
Zorya,Graveborn,Warrior,Specialist,C,C,C,A+,moving,hp-scaling; life-drain,,fast,,,,,"Arc, Area, Single target",,,Single target — high,,,,Area — average,Arc — average,,,,,,,,,,,,,Self — Conditional,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — high,,,Area — average,,,,,,
